标题	内容
很好	很好的平台，刚玩感觉喜欢
好	特好 就是提现太慢了
垃圾	真特么垃圾，干什么也收费全是托，
骗子软件、里面全是托、干啥都要钱、垃圾	骗子软件、里面全是托、干啥都要钱、垃圾
总是网络连接失败	其他还好，就是网络连接太差劲，退出重新登陆不行，连接WiFi不行，就是要卸载重新下载才行，太坑了
特别好	很好的软件
好平台，相逢恨晚！	用了一个月，喜欢平台！
很坑的软件	聊一句话要金币，普通的聊天交流全部建立在金币上，金币可以赚，还不够三句话呢，5金币一句话。这是土豪玩的，平民早点卸载吧。顺便说一句，很多打招呼的基本都是系统自动的和为了赚金币而随意发的，太垃圾。
骗钱的	"专业骗钱的，大家别下载
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
呵呵	（该条评论已经被删除）垃圾软件，聊天要用陌币，没有就聊不了，最恶心的就是还会安排一堆AI来和你聊天
垃圾軟件	"誰給你的自信  收費
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
握日，聊天都要钱，这一看就是坑那种精虫上脑的人啊，告辞	"这也太假了，刚注册好就一堆妹纸和你聊天，然后就要充钱才能聊
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
交友的	"很好用
 ----------------------------------------------------------------------------------------- 
 开发者回复：感谢您对陌声的认可和支持，祝您早日遇见适合的TA!
"
骗人的APP	"充值，充值，充值，机器人，机器人，机器人，自己体会
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
小心别下载	"就是骗人充钱的，充钱才可以聊天，里面的，人都是拖，要么就是软件请到人，
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
骗子软件	（该条评论已经被删除）骗子软件 聊天还收费垃圾软件给一星嫌多
真的好那是相对而言	"我去，这个软件是真的垃圾，男生发消息要收钱，女生不但不收钱还有收益可拿，卧槽，我都醉了，这个软件在搞性别歧视吗？给五星是因为想让你们看到
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，主动发消息一方需付金币，加为好友(互相关注)聊天免费，你也可以点击软件底部【我】-【任务中心】，完成多样任务赢取金币。
"
挺好的	"认识了很多新朋友，软件很好
 ----------------------------------------------------------------------------------------- 
 开发者回复：感谢您对陌声的认可和支持，祝您早日遇见适合的TA!
"
差评	"聊聊天就让充值 才能继续聊天   还都是机器人跟你说话  差评
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
史上最坑爹的软件	"男的给女的发消息按照每天信息扣金币，四五十个金币就四五条消息就扣完了，没有金币啥都干不了，消息也发不了，简直太垃圾了
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
干啥	（该条评论已经被删除）感谢平台让我找到后半辈子的另一半
喜欢这个平台真实度高	"陌声带给我精彩快乐
 ----------------------------------------------------------------------------------------- 
 开发者回复：感谢您对陌声的认可和支持，祝您早日遇见适合的TA!
"
骗子都是	"就是骗钱的，大家不要下
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
骗子软件，一天充了两万	（该条评论已经被删除）希望大家可以举报这个软件
骗人软件	"全是骗人的托，每发条信息都要付费的，那些女的就老是重复问你些问题，一会就要充币了
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，陌声是正规的同城交友平台，主打真人一对一语音视频聊天，所有用户均为真实用户。已有超过2000万用户在陌声平台快速搭讪结识了心怡的另一半、知心朋友、红颜蓝颜知己。陌声绝不强制收费，用户可以通过签到、做任务免费获取金币。请您根据自身需求理性消费，双方互为好友可免费聊天，祝您早日遇见适合的Ta。"
